MESH	NCBI	nct_id	sentence	measurement	biomarker	year	date	Symbol	name
D017093	174	NCT01218464	The level of alpha-fetoprotein (AFP)	The level of alpha-fetoprotein (<span class='gene'>AFP</span>)	protein	2010	2010-10-11	AFP	Liver Failure
D017093	174	NCT01218464	The level of alpha-fetoprotein (AFP)	The level of <span class='gene'>alpha-fetoprotein</span> (AFP)	protein	2010	2010-10-11	AFP	Liver Failure
D017093	174	NCT03863002	Change of alpha fetoprotein (AFP) level as a marker of liver function	Change of alpha fetoprotein (<span class='gene'>AFP</span>) level as a marker of liver function	protein	2019	2019-03-05	AFP	Liver Failure
D017093	174	NCT03863002	Change of alpha fetoprotein (AFP) level as a marker of liver function	Change of <span class='gene'>alpha fetoprotein</span> (AFP) level as a marker of liver function	protein	2019	2019-03-05	AFP	Liver Failure
D017093	213	NCT00623662	Rate of albumin synthesis	Rate of <span class='gene'>albumin</span> synthesis	protein	2008	2008-02-26	ALB	Liver Failure
D017093	213	NCT01013194	Assessment of the efficacy of human fetal liver progenitor cell transplantation on Child-Pugh score. The Child-Pugh (CP) classification is a scoring system used for the classification of the severity of cirrhosis. It includes three continuous variables (bilirubin, albumin and INR) and two discrete variables (ascites and encephalopathy). Each variable is scored 1-3 with 3 indicating most severe derangement. The determination of CP score may range from 5 to 15 and the final score allows to categorize patients in Child-Pugh A (5-6 points), B (7-9 points) and C (10-15 points). The highest is the score the sickest is the patient.	Assessment of the efficacy of human fetal liver progenitor cell transplantation on Child-Pugh score. The Child-Pugh (CP) classification is a scoring system used for the classification of the severity of cirrhosis. It includes three continuous variables (bilirubin, <span class='gene'>albumin</span> and INR) and two discrete variables (ascites and encephalopathy). Each variable is scored 1-3 with 3 indicating most severe derangement. The determination of CP score may range from 5 to 15 and the final score allows to categorize patients in Child-Pugh A (5-6 points), B (7-9 points) and C (10-15 points). The highest is the score the sickest is the patient.	protein	2009	2009-11-13	ALB	Liver Failure
D017093	213	NCT01201720	Albumin functional capacity	<span class='gene'>Albumin</span> functional capacity	protein	2010	2010-09-15	ALB	Liver Failure
D017093	213	NCT01201720	Ischemia-modified albumin	Ischemia-modified <span class='gene'>albumin</span>	protein	2010	2010-09-15	ALB	Liver Failure
D017093	213	NCT01201720	Albumin binding capacity	<span class='gene'>Albumin</span> binding capacity	protein	2010	2010-09-15	ALB	Liver Failure
D017093	213	NCT01201720	Conventional hepatic function parameters: aspartate transaminase, alanine transaminase, gamma-glutamyl transferase, alkaline phosphatase, total, conjugated and not conjugated serum bilirubin, serum albumin, international normalized ratio (INR) and prothrombin index	Conventional hepatic function parameters: aspartate transaminase, alanine transaminase, gamma-glutamyl transferase, alkaline phosphatase, total, conjugated and not conjugated serum bilirubin, <span class='gene'>serum albumin</span>, international normalized ratio (INR) and prothrombin index	protein	2010	2010-09-15	ALB	Liver Failure
D017093	213	NCT01218464	The levels of serum Total Protein and Albumin	The levels of serum Total Protein and <span class='gene'>Albumin</span>	protein	2010	2010-10-11	ALB	Liver Failure
D017093	213	NCT01724398	Improve biochemical indexes [alanine aminotransferase (ALT), albumin (ALB), total bilirubin (TBIL), prothrombin time (PT), INR and so on]	Improve biochemical indexes [alanine aminotransferase (ALT), <span class='gene'>albumin</span> (ALB), total bilirubin (TBIL), prothrombin time (PT), INR and so on]	protein	2012	2012-11-09	ALB	Liver Failure
D017093	213	NCT01724398	Improve biochemical indexes [alanine aminotransferase (ALT), albumin (ALB), total bilirubin (TBIL), prothrombin time (PT), INR and so on]	Improve biochemical indexes [alanine aminotransferase (ALT), <span class='gene'>ALB</span>umin (ALB), total bilirubin (TBIL), prothrombin time (PT), INR and so on]	protein	2012	2012-11-09	ALB	Liver Failure
D017093	213	NCT02310542	Comparison of hepatic encephalopathy score before and after two albumin dialysis systems : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	Comparison of hepatic encephalopathy score before and after two <span class='gene'>albumin</span> dialysis systems : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	biomarker	2014	2014-12-08	ALB	Liver Failure
D017093	213	NCT02310542	Comparison of pulsatility index of middle cerebral artery recorded by transcranial doppler before and after two albumin dialysis system : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	Comparison of pulsatility index of middle cerebral artery recorded by transcranial doppler before and after two <span class='gene'>albumin</span> dialysis system : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	protein	2014	2014-12-08	ALB	Liver Failure
D017093	213	NCT02310542	Comparison of tolerance of two albumin dialysis sytems : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	Comparison of tolerance of two <span class='gene'>albumin</span> dialysis sytems : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	protein	2014	2014-12-08	ALB	Liver Failure
D017093	213	NCT02310542	Comparison of total plasmatic bilirubin level before and after two albumin dialysis systems : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	Comparison of total plasmatic bilirubin level before and after two <span class='gene'>albumin</span> dialysis systems : with recirculation (MARS™ system) and without recirculation (SPAD™ system)	protein	2014	2014-12-08	ALB	Liver Failure
D017093	213	NCT02310542	Tolerance will be evaluated by effect of albumin dialysis on coagulation indices : prothrombin time (seconds) and international normalized ratio, activated partial thromboplastin time ratio, fibrinogen level (g/L), factor V level (%), platelet count (×10(9) /L), hemoglobin level (g/L), red cell count (10(12)/L), hematocrit level (%). Coagulation indices will be measured by an arterial sample before and at the end of MARS™ dialysis (8 hours) and before and at the end of SPAD™ dialysis (10 hours) ; the two variations will be compared. Each patient will receive the two dialysis systems separated by a free interval that will last between 12 and 48 hours.	Tolerance will be evaluated by effect of <span class='gene'>albumin</span> dialysis on coagulation indices : prothrombin time (seconds) and international normalized ratio, activated partial thromboplastin time ratio, fibrinogen level (g/L), factor V level (%), platelet count (×10(9) /L), hemoglobin level (g/L), red cell count (10(12)/L), hematocrit level (%). Coagulation indices will be measured by an arterial sample before and at the end of MARS™ dialysis (8 hours) and before and at the end of SPAD™ dialysis (10 hours) ; the two variations will be compared. Each patient will receive the two dialysis systems separated by a free interval that will last between 12 and 48 hours.	protein	2014	2014-12-08	ALB	Liver Failure
D017093	213	NCT02310542	Comparison of bile acids and conjugated bilirubin levels before and after two albumin dialysis systems: with recirculation (MARS™ system) and without recirculation (SPAD™ system).	Comparison of bile acids and conjugated bilirubin levels before and after two <span class='gene'>albumin</span> dialysis systems: with recirculation (MARS™ system) and without recirculation (SPAD™ system).	protein	2014	2014-12-08	ALB	Liver Failure
D017093	213	NCT02812121	The influence on levels of ALB(g/L) after UC-MSC infusions	The influence on levels of <span class='gene'>ALB</span>(g/L) after UC-MSC infusions	protein	2016	2016-06-24	ALB	Liver Failure
D017093	213	NCT03065699	Performance of DIALIVE by assessing removal of albumin.	Performance of DIALIVE by assessing removal of <span class='gene'>albumin</span>.	protein	2017	2017-02-28	ALB	Liver Failure
D017093	213	NCT03065699	To evaluate the performance of the DIALIVE device in patients with ACLF (DIALIVE arm only). Outcome measure is : - Change in Albumin function (Human non-mercapt albumin -2 (HNA-2) / Human mercapt albumin (HMA ratio) between end of treatment with DIALIVE and the beginning of treatment with DIALIVE (Day 1)	To evaluate the performance of the DIALIVE device in patients with ACLF (DIALIVE arm only). Outcome measure is : - Change in <span class='gene'>Albumin</span> function (Human non-mercapt albumin -2 (HNA-2) / Human mercapt albumin (HMA ratio) between end of treatment with DIALIVE and the beginning of treatment with DIALIVE (Day 1)	protein	2017	2017-02-28	ALB	Liver Failure
D017093	213	NCT03065699	To evaluate the performance of the DIALIVE device in patients with ACLF (DIALIVE arm only). Outcome measure is : - Change in Albumin function (Human non-mercapt albumin -2 (HNA-2) / Human mercapt albumin (HMA ratio) between end of treatment with DIALIVE and the beginning of treatment with DIALIVE (Day 1)	To evaluate the performance of the DIALIVE device in patients with ACLF (DIALIVE arm only). Outcome measure is : - Change in <span class='gene'>albumin</span> function (Human non-mercapt albumin -2 (HNA-2) / Human mercapt albumin (HMA ratio) between end of treatment with DIALIVE and the beginning of treatment with DIALIVE (Day 1)	protein	2017	2017-02-28	ALB	Liver Failure
D017093	213	NCT03082885	Albumin time change	<span class='gene'>Albumin</span> time change	protein	2017	2017-03-17	ALB	Liver Failure
D017093	213	NCT03082885	Levels of albumin were measured on week0,1,2, 4,8, 12 and 24 after the start of the infusion in both groups	Levels of <span class='gene'>albumin</span> were measured on week0,1,2, 4,8, 12 and 24 after the start of the infusion in both groups	protein	2017	2017-03-17	ALB	Liver Failure
D017093	213	NCT03860155	Liver Function Test (ALT, AST, AP, Albumin, Bilirubin, GGT) at Weeks 3, 4, 8, 12, 16, 20 and 24	Liver Function Test (ALT, AST, AP, <span class='gene'>Albumin</span>, Bilirubin, GGT) at Weeks 3, 4, 8, 12, 16, 20 and 24	protein	2019	2019-03-01	ALB	Liver Failure
