nct_id	measurement	text	Symbol	label
NCT00000948	CD4 count	CD4	CD4	cell surface
NCT00078442	CD4 count	CD4	CD4	cell surface
NCT00105313	CD-2 positive lymphoproliferative disorders.	CD-2	CD2	cell surface
NCT00118378	CD4 Cell Count	CD4	CD4	cell surface
NCT00119093	CD4 cell count	CD4	CD4	cell surface
NCT00130819	CD4 cell count changes	CD4	CD4	cell surface
NCT00149552	CD4 cell count <200 cells/uL	CD4	CD4	cell surface
NCT00196599	CD4 cell count	CD4	CD4	cell surface
NCT00339092	CD4 and Viral Load	CD4	CD4	cell surface
NCT00339612	CD4 + T cell count	CD4	CD4	cell surface
NCT00344487	Baseline Will be Defined as the Mean of 2 Values Obtained Prior to the Medication Switch (for Analysis Purposes, the CD4 Cell Counts at 6 and 12 Months Will be Defined by the Mean of the CD4 Cell Counts Obtained at Months 3, 6 or 9, 12, Respectively).	CD4	CD4	cell surface
NCT00385957	CD4 cells (CD45RA+CD45RO-) and memory cells (CD45RA-CD45RO+)	CD4	CD4	cell surface
NCT00445146	CD4 Cell Count at Baseline and Change From Baseline at Weeks 24, 48, 96, 144, 192, 240, 288, 336, and 384	CD4	CD4	cell surface
NCT00536848	CD4 count	CD4	CD4	cell surface
NCT00579709	CD4 count	CD4	CD4	cell surface
NCT00579709	CD8 count in cells/mm3	CD8	CD8A	cell surface
NCT00608569	CD8 cell count (median, inter-quartile range)	CD8	CD8A	cell surface
NCT00608569	CD8 Count at Follow-up Visits	CD8	CD8A	cell surface
NCT00633204	CD8 population	CD8	CD8A	cell surface
NCT00773435	CD25/CD69 activation	CD25	IL2RA	cell surface
NCT00773435	CD25/CD69 activation	CD69	CD69	cell surface
NCT00803543	CD4 Count	CD4	CD4	cell surface
NCT00821366	CD4 count	CD4	CD4	cell surface
NCT00866619	CD considered were CD1 for ISA and CD1 and CD2 for MH. ISA of CD1 was defined as a documented hemoglobin < 5.0 g/dL identified at clinical presentation to morbidity surveillance system in association with a P. falciparum parasitemia > 5000 parasites/μL. MH of CD1 was defined as a medical hospitalization with confirmed P. falciparum > 5000 parasites/μL. MH of CD2 was defined as a hospitalization which, in the judgment of the principal investigator, P. falciparum infection was the sole or a major contributing factor to the presentation. Results presented are uncorrected for double enrollment of one subject in 5-17 months age category receiving GSK257049 vaccine.	CD2	CD2	cell surface
NCT00993031	CD4 cell count recovery efavirenz at delivery	CD4	CD4	cell surface
NCT00998049	CD34 Yield Day 2	CD34	CD34	cell surface
NCT00998049	CD34 Yield on Day 1	CD34	CD34	cell surface
NCT01084382	CD4 cell account	CD4	CD4	cell surface
NCT01153269	CD4 Cell Count	CD4	CD4	cell surface
NCT01176409	CD4 cell count	CD4	CD4	cell surface
NCT01190124	CD4 Cells Count	CD4	CD4	cell surface
NCT01246401	Baseline labs will be drawn while subject is in prison, one to three months prior to release. Additional labs will be drawn every 3 months for 1 year to monitor changes in CD4 levels.	CD4	CD4	cell surface
NCT01280955	CD4 Cell Count at Day 30	CD4	CD4	cell surface
NCT01280955	CD8 cell count at Day 30; CD8 (cluster of differentiation 8) is a transmembrane glycoprotein that serves as a co-receptor for the T cell receptor (TCR).	CD8	CD8A	cell surface
NCT01280955	CD8 cell count at Day 60; CD8 (cluster of differentiation 8) is a transmembrane glycoprotein that serves as a co-receptor for the T cell receptor (TCR).	CD8	CD8A	cell surface
NCT01280955	CD8 Cell Count at Day 90	CD8	CD8A	cell surface
NCT01291485	CD4 cell count	CD4	CD4	cell surface
NCT01395771	CD4 cell counts will be measured only at baseline survey and after 3 months	CD4	CD4	cell surface
NCT01458977	CD4 cell count	CD4	CD4	cell surface
NCT01596062	CD25 saturation is the percentage of T cells expressing CD25. Mean AUC of CD25 was calculated only for patients who received two Simulect® injections.	CD25	IL2RA	cell surface
NCT01743521	CD4 and HIV RNA	CD4	CD4	cell surface
NCT01802736	CD4 Cell count in the last 6 months preceding the study visit	CD4	CD4	cell surface
NCT01874743	CD8 T cell activation	CD8	CD8A	cell surface
NCT01885728	Capacity of cluster of differentiation 4 (CD4)+ and cluster of differentiation 8 (CD8)+ cells	CD4	CD4	cell surface
NCT02140216	CD2 Cellular immunologic parameter (non-radioisotope),	CD2	CD2	cell surface
NCT02228096	CD19 Status of Bone Marrow/Blood Relapse in FAS Patients Who Achieved CR or CRi and Then Relapsed	CD19	CD19	cell surface
NCT02253160	CD34+ Collection Efficiency (CE1 %)	CE1	CES1	cell surface
NCT02253160	CD34+ Collection Efficiency (CE2 %)	CE2	CES2	cell surface
NCT02285374	CD4 cell count and %	CD4	CD4	cell surface
NCT02296541	Breadth of CD4 T-cell responses determined by epitope mapping, 2 weeks after the last DNA vaccination	CD4	CD4	cell surface
NCT02447016	CD4 cell count (number of cells per mm3)	CD4	CD4	cell surface
NCT02718573	CD8 T cells	CD8	CD8A	cell surface
NCT02816957	CD4 and CD8 cell per cmm	CD4	CD4	cell surface
NCT02829723	CD163 (Phase I)	CD163	CD163	cell surface
NCT02888756	CD8 T Cell Mediated Viral Suppression	CD8	CD8A	cell surface
NCT03158129	CD8 positive (+) tumor infiltrating lymphocytes (TILs) quantification	CD8	CD8A	cell surface
NCT03161379	CD8 count (cells/mm^3) in the tumor microenvironment	CD8	CD8A	cell surface
NCT03196414	CART Cell survival time by testing CART-138/BCMA cells copies in vivo through PCR Method.	CART	CARTPT	cell surface
NCT03303625	CD4 and CD8 T-cell subsets and their Cytokine expression as Measured by Intracellular cytokine Staining (ICS)	CD4	CD4	cell surface
NCT03303625	CD4 and CD8 T-cell subsets and their Cytokine expression as Measured by Intracellular cytokine Staining (ICS)	CD8	CD8A	cell surface
NCT03407105	CD8 T cell cytokine responses to Candida antigen	CD8	CD8A	cell surface
NCT03407105	CD8 T cell cytokine responses to tetanus antigen	CD8	CD8A	cell surface
NCT03514550	CD8 expression on lymphocytes measured with flow cytometry	CD8	CD8A	cell surface
NCT03605940	CD8 T cells number	CD8	CD8A	cell surface
NCT03689101	CD138 counting	CD138	SDC1	cell surface
NCT03746457	CD-4 count	CD-4	CD4	cell surface
NCT03746600	CD4 cell count as determined by medical chart	CD4	CD4	cell surface
NCT03860844	CD38 receptor density will be assessed at baseline and CD38 receptor occupancy at Day 15 and correlated with clinical endpoints.	CD38 receptor	CD38	cell surface
NCT04055207	CD4 cell count	CD4	CD4	cell surface
NCT04418154	CD8 in tumor samples by biopsy at baseline and by surgery immediately after surgery would be evaluated by HE or immune staining. CD8 in blood at baseline, at the end of Cycle 2, Cycle 4, Cycle 6 and Cycle 8 of neoadjuvant therapy (each cycle is 28 days), before and immediately after the surgery would also be obtained to evaluate its trends for the treatment.	CD8	CD8A	cell surface
NCT04465643	B7-H3 cell count in cells/mm^3	B7-H3	CD276	cell surface
NCT04465643	B7-H4 cell count in cells/mm^3	B7-H4	VTCN1	cell surface
NCT04465643	CD11b Cell Count	CD11b	ITGAM	cell surface
NCT04465643	CD11b cell count in cells/mm^3	CD11b	ITGAM	cell surface
NCT04465643	CD14 Cell Count	CD14	CD14	cell surface
NCT04465643	CD14 cell count in cells/mm^3	CD14	CD14	cell surface
NCT04465643	CD163 Cell Count	CD163	CD163	cell surface
NCT04465643	CD163 cell count in cells/mm^3	CD163	CD163	cell surface
NCT04465643	CD19 Cell Count	CD19	CD19	cell surface
NCT04465643	CD19 cell count in cells/mm^3	CD19	CD19	cell surface
NCT04465643	CD1a Cell Count	CD1a	CD1A	cell surface
NCT04465643	CD1a cell count in cells/mm^3	CD1a	CD1A	cell surface
NCT04465643	CD206 Cell Count	CD206	MRC1	cell surface
NCT04465643	CD206 cell count in cells/mm^3	CD206	MRC1	cell surface
NCT04465643	CD25 cell count in cells/mm^3	CD25	IL2RA	cell surface
NCT04465643	CD4 Cell Count	CD4	CD4	cell surface
NCT04465643	CD8 Cell Count	CD8	CD8A	cell surface
NCT04500678	CD8 T cell PD1+TIGIT+	CD8	CD8A	cell surface
NCT04619693	CD4 cell count	CD4	CD4	cell surface
NCT04619693	CD8 cell count	CD8	CD8A	cell surface
NCT04619693	CD8 refers to cluster of differentiation 8.	CD8	CD8A	cell surface
NCT04677842	CD4 change from drug start up to 144 weeks	CD4	CD4	cell surface
NCT04797260	CD3 T cells > 300/μL and CD4 > 200/μL at 1 year	CD4	CD4	cell surface
NCT04868136	CD8 T cell mobilization by exercise	CD8	CD8A	cell surface
NCT05083754	CD4 cell count	CD4	CD4	cell surface
NCT05083754	CD8 cell count	CD8	CD8A	cell surface
NCT05088941	CD34 recovery	CD34	CD34	cell surface
NCT00385398	Frequency of O6-methylguanine-DNA methyltransferase promoter methylation	O6-methylguanine-DNA methyltransferase promoter	MGMT	epigenetic
NCT00482677	Methylation Status of the O6-methylguanine-DNA Methyltransferase Promoter	O6-methylguanine-DNA Methyltransferase Promoter	MGMT	epigenetic
NCT00516282	MGMT Methylation Status	MGMT	MGMT	epigenetic
